title,link,original,sale,discount,currency,date,time
Budget Cuts,https://store.steampowered.com/app/400940/Budget_Cuts/?snr=1_7_7_2300_150_2,32.99,18.14,45,CDN,2020-04-27,23:33
Total War: EMPIRE - Definitive Edition,https://store.steampowered.com/sub/17092/?snr=1_7_7_2300_150_2,29.99,7.49,75,CDN,2020-04-27,23:33
Total War: NAPOLEON - Definitive Edition,https://store.steampowered.com/sub/17093/?snr=1_7_7_2300_150_2,29.99,7.49,75,CDN,2020-04-27,23:33
SUNLESS SKIES,https://store.steampowered.com/app/596970/SUNLESS_SKIES/?snr=1_7_7_2300_150_2,27.99,13.99,50,CDN,2020-04-27,23:33
Total War: EMPIRE – Definitive Edition,https://store.steampowered.com/app/10500/Total_War_EMPIRE__Definitive_Edition/?snr=1_7_7_2300_150_2,29.99,7.49,75,CDN,2020-04-27,23:33
Total War: NAPOLEON – Definitive Edition,https://store.steampowered.com/app/34030/Total_War_NAPOLEON__Definitive_Edition/?snr=1_7_7_2300_150_2,29.99,7.49,75,CDN,2020-04-27,23:33
BlazBlue Centralfiction,https://store.steampowered.com/app/586140/BlazBlue_Centralfiction/?snr=1_7_7_2300_150_2,43.99,8.79,80,CDN,2020-04-27,23:33
Monster Prom,https://store.steampowered.com/app/743450/Monster_Prom/?snr=1_7_7_2300_150_2,13.49,5.39,60,CDN,2020-04-27,23:33
Battle Chasers: Nightwar,https://store.steampowered.com/app/451020/Battle_Chasers_Nightwar/?snr=1_7_7_2300_150_2,32.99,8.24,75,CDN,2020-04-27,23:33
Trine 4: The Nightmare Prince,https://store.steampowered.com/app/690640/Trine_4_The_Nightmare_Prince/?snr=1_7_7_2300_150_2,39.99,15.99,60,CDN,2020-04-27,23:33
Battle Brothers,https://store.steampowered.com/app/365360/Battle_Brothers/?snr=1_7_7_2300_150_2,32.99,16.49,50,CDN,2020-04-27,23:33
Depth,https://store.steampowered.com/app/274940/Depth/?snr=1_7_7_2300_150_2,21.99,6.59,70,CDN,2020-04-27,23:33
